                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2579,                 2.5502,                 1.3895,                0.83279,                0.57917,                0.70501,                0.45857,                 1.2794,                 2.8107,                 1.3784,             0.00065833,             0.00065833,             0.00065833
                      2,                 1.2906,                 1.9493,                 1.3846,                0.75562,                0.72093,                0.77953,                 0.5136,                 1.1851,                 2.8706,                 1.3261,              0.0012725,              0.0012725,              0.0012725
                      3,                 1.3127,                   1.75,                  1.386,                0.78647,                0.69767,                0.76173,                0.40386,                  1.595,                 3.7331,                 1.8668,              0.0018339,              0.0018339,              0.0018339
                      4,                 1.3082,                 1.5623,                 1.3816,                0.64702,                 0.7907,                0.77912,                0.49961,                  1.281,                 1.7842,                 1.3314,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.3032,                 1.4545,                 1.3845,                0.78959,                0.82908,                0.84921,                0.56164,                 1.1862,                 1.9748,                 1.3126,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.2213,                  1.293,                 1.3295,                0.89495,                0.75581,                0.87197,                0.58129,                 1.1821,                 1.1712,                 1.2862,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.2092,                 1.2024,                 1.3243,                0.80754,                0.82946,                0.87705,                0.58909,                 1.1805,                 1.0003,                 1.2857,               0.001604,               0.001604,               0.001604
                      8,                 1.2198,                 1.1634,                 1.3146,                0.93523,                0.83958,                0.89201,                0.63331,                 1.0498,                 1.0406,                 1.1937,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.2346,                 1.1532,                 1.3139,                0.82317,                0.81395,                0.86459,                0.59633,                  1.077,                 1.0404,                 1.2083,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.1653,                 1.0439,                  1.275,                 0.9355,                0.84325,                0.91989,                0.64634,                 1.0741,                0.87279,                 1.1837,              0.0013664,              0.0013664,              0.0013664
                     11,                  1.131,                 1.0193,                 1.2578,                0.95907,                0.87209,                0.94418,                0.68986,                 1.0104,                0.72542,                 1.1696,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.1067,                0.96314,                 1.2375,                0.92384,                 0.9186,                0.94847,                0.67288,                 1.0723,                0.70575,                 1.2077,               0.001208,               0.001208,               0.001208
                     13,                 1.0946,                0.91222,                 1.2437,                0.93702,                0.87209,                0.93547,                0.65241,                 1.0442,                0.72495,                 1.1685,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.0999,                0.93906,                   1.25,                0.93291,                0.89535,                0.94798,                0.69698,                0.98237,                0.74313,                 1.1367,              0.0010496,              0.0010496,              0.0010496
                     15,                  1.083,                0.88877,                 1.2245,                0.96558,                0.83721,                0.95069,                0.69139,                0.95924,                0.67982,                 1.1389,              0.0009704,              0.0009704,              0.0009704
                     16,                0.95688,                0.78398,                 1.1584,                0.90423,                0.87834,                0.93571,                 0.6718,                0.99044,                0.74916,                 1.1635,              0.0008912,              0.0008912,              0.0008912
                     17,                0.94425,                0.72611,                 1.1502,                0.94158,                0.88372,                0.94818,                 0.6695,                 1.0172,                0.63259,                  1.149,               0.000812,               0.000812,               0.000812
                     18,                0.93106,                0.67537,                 1.1114,                0.96229,                0.89024,                0.94415,                0.70404,                0.93185,                0.64211,                 1.0991,              0.0007328,              0.0007328,              0.0007328
                     19,                0.91983,                 0.6555,                 1.1132,                0.97396,                0.87209,                0.94833,                0.67365,                 1.0656,                0.64435,                 1.1892,              0.0006536,              0.0006536,              0.0006536
                     20,                0.88308,                0.64096,                 1.0969,                0.96204,                0.88403,                0.95791,                0.70923,                0.95546,                0.60833,                 1.1364,              0.0005744,              0.0005744,              0.0005744
                     21,                0.89575,                0.61555,                 1.1099,                0.94424,                0.88372,                0.95167,                0.72439,                0.89984,                0.61761,                 1.0972,              0.0004952,              0.0004952,              0.0004952
                     22,                0.84828,                0.58729,                 1.0791,                0.91162,                0.93023,                0.94707,                0.71936,                0.90443,                0.60255,                  1.101,               0.000416,               0.000416,               0.000416
                     23,                 0.8434,                0.57795,                 1.0803,                0.94028,                 0.9186,                0.94803,                0.71141,                0.89511,                0.56206,                 1.0927,              0.0003368,              0.0003368,              0.0003368
                     24,                0.83967,                0.56483,                 1.0671,                0.91082,                0.96512,                0.95157,                0.72756,                0.91832,                0.55516,                 1.0965,              0.0002576,              0.0002576,              0.0002576
                     25,                0.81348,                0.53552,                  1.057,                0.93052,                0.93447,                0.95243,                0.72696,                0.90855,                0.55181,                 1.1074,              0.0001784,              0.0001784,              0.0001784
