                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2575,                 2.5867,                 3.1261,                 1.4164,                0.36848,                0.44626,                0.37802,                0.26034,                0.36727,                0.44402,                0.37694,                0.23804,                 1.1554,                 2.3359,                  2.115,                 1.3326,             0.00025488,             0.00025488,             0.00025488
                      2,                 1.1017,                 1.9943,                 1.9881,                 1.2689,                0.52789,                0.60576,                0.57133,                0.39743,                0.51961,                0.60188,                0.56641,                0.37727,                  1.067,                 1.9695,                 1.6134,                 1.2557,             0.00048591,             0.00048591,             0.00048591
                      3,                  1.043,                 1.8564,                 1.7213,                 1.2127,                0.62434,                0.69875,                 0.6461,                0.47001,                0.61637,                0.68858,                0.63258,                0.43055,                0.97894,                 1.9493,                 1.4466,                 1.2133,             0.00069156,             0.00069156,             0.00069156
                      4,                 1.0289,                 1.7586,                 1.5511,                   1.19,                0.63113,                 0.7369,                0.69403,                0.51159,                0.62982,                0.73006,                0.69266,                0.49449,                 0.9404,                 1.6287,                 1.2934,                 1.1647,              0.0006548,              0.0006548,              0.0006548
                      5,                0.96148,                 1.6445,                 1.3875,                  1.143,                0.74672,                0.71895,                0.78411,                0.59763,                0.75406,                0.71616,                0.78459,                0.56951,                0.89277,                 1.5962,                  1.169,                 1.1311,              0.0006548,              0.0006548,              0.0006548
                      6,                0.93913,                 1.5973,                 1.3246,                 1.1319,                0.75512,                0.76473,                0.81467,                0.62196,                0.76059,                0.76105,                0.81515,                0.59742,                0.87699,                 1.4628,                 1.0702,                 1.1166,             0.00061674,             0.00061674,             0.00061674
                      7,                0.91288,                 1.5269,                 1.2411,                 1.1106,                0.81261,                0.78448,                0.84275,                0.66106,                0.81691,                0.78649,                0.84607,                0.64153,                0.85878,                   1.42,                0.97522,                  1.101,             0.00057867,             0.00057867,             0.00057867
                      8,                 0.8821,                 1.4702,                   1.15,                  1.095,                0.83303,                 0.8321,                0.87632,                 0.6853,                0.82868,                0.82831,                0.87249,                0.65763,                0.83296,                 1.4462,                0.94135,                 1.0847,             0.00054061,             0.00054061,             0.00054061
                      9,                0.86606,                 1.4364,                   1.08,                 1.0817,                0.90724,                0.81078,                0.90888,                0.73061,                0.88991,                0.82371,                0.91065,                0.70002,                0.80595,                 1.3503,                0.79266,                 1.0573,             0.00050254,             0.00050254,             0.00050254
                     10,                0.82952,                 1.3993,                 1.0401,                 1.0676,                0.88432,                0.81105,                 0.9005,                0.72925,                0.89186,                0.81869,                0.90538,                0.71106,                0.76164,                 1.2702,                0.81634,                 1.0348,             0.00046448,             0.00046448,             0.00046448
                     11,                0.79278,                 1.2889,                0.93186,                 1.0671,                0.87723,                0.86032,                0.91864,                0.73796,                0.87722,                0.86575,                0.91752,                0.72694,                0.78787,                 1.2288,                0.76902,                  1.043,             0.00042641,             0.00042641,             0.00042641
                     12,                 0.7539,                 1.1904,                0.82987,                 1.0329,                0.88693,                0.86669,                0.92657,                0.75457,                0.88987,                0.86813,                0.92909,                0.73862,                0.74857,                 1.2061,                0.69371,                 1.0254,             0.00038835,             0.00038835,             0.00038835
                     13,                0.72531,                 1.1389,                0.76627,                 1.0181,                0.88231,                0.88171,                 0.9261,                0.76293,                0.88837,                0.88841,                0.93068,                0.75711,                0.73252,                   1.17,                0.69425,                 1.0136,             0.00035028,             0.00035028,             0.00035028
                     14,                0.70586,                 1.1061,                0.73312,                 1.0068,                0.89692,                0.89127,                0.94145,                0.77781,                0.90211,                0.89636,                0.94347,                0.76466,                0.71459,                 1.1515,                0.65319,                 1.0053,             0.00031221,             0.00031221,             0.00031221
                     15,                0.68884,                 1.0637,                0.70833,                0.99924,                 0.9095,                0.90116,                0.94421,                0.77844,                0.92082,                0.89407,                0.94594,                0.76612,                0.71535,                 1.1471,                0.62377,                 1.0096,             0.00027415,             0.00027415,             0.00027415
                     16,                0.66081,                 1.0353,                0.67565,                0.98151,                0.94484,                0.87428,                0.94601,                0.78807,                0.92256,                0.90171,                0.95095,                0.78184,                0.69527,                 1.1137,                0.58874,                0.98863,             0.00023608,             0.00023608,             0.00023608
                     17,                0.64857,                0.99934,                0.64339,                0.97643,                 0.9101,                0.90778,                 0.9519,                0.79757,                0.92262,                0.90826,                 0.9537,                0.78813,                0.68203,                 1.0904,                0.57426,                0.98257,             0.00019802,             0.00019802,             0.00019802
                     18,                0.63509,                0.97161,                0.62479,                0.96528,                0.91047,                0.92665,                0.95594,                0.80615,                0.90967,                 0.9258,                0.95534,                0.79551,                0.67243,                 1.0538,                0.55456,                 0.9723,             0.00015995,             0.00015995,             0.00015995
                     19,                0.61612,                0.95644,                0.60511,                0.95727,                0.93068,                0.90953,                0.95718,                0.81122,                0.93421,                0.90938,                0.95825,                0.79991,                 0.6533,                 1.0444,                0.54134,                0.96423,             0.00012189,             0.00012189,             0.00012189
                     20,                0.60684,                0.93648,                0.58283,                0.94605,                0.94276,                0.90228,                 0.9567,                0.81276,                0.93351,                0.92306,                0.95697,                 0.8015,                0.65433,                 1.0345,                0.53053,                0.96324,             8.3821e-05,             8.3821e-05,             8.3821e-05
